s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 6.1538166E+001, 1.2753656E+001,-4.2261439E+000,-3.3764277E+000,-2.4332070E+000, 2.5640566E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6454508E+000, 2.7204412E+000, 6.5707755E-004, 6.5707755E-004
 6.1690857E+001, 1.2629136E+001,-4.0566437E+000,-3.3978397E+000,-2.4376776E+000, 2.5636474E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7035787E+000, 2.7395390E+000, 6.5707755E-004, 6.5707755E-004
 6.1843548E+001, 1.2565812E+001,-3.9616131E+000,-3.4201221E+000,-2.4425468E+000, 2.5632362E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7226280E+000, 2.7440933E+000, 6.5707755E-004, 6.5707755E-004
 6.1996239E+001, 1.2533665E+001,-3.8972289E+000,-3.4430968E+000,-2.4471217E+000, 2.5628339E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7269509E+000, 2.7487808E+000, 6.5707755E-004, 6.5707755E-004
 6.2148930E+001, 1.2517234E+001,-3.8597524E+000,-3.4670733E+000,-2.4483825E+000, 2.5624769E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7321911E+000, 2.7445886E+000, 6.5707755E-004, 6.5707755E-004
 6.2301620E+001, 1.2508854E+001,-4.1911956E+000,-3.4970073E+000,-2.4522823E+000, 2.5621871E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7260481E+000, 2.3709311E+000, 6.5707755E-004, 6.5707755E-004
 6.2454315E+001, 1.2504608E+001,-4.0574353E+000,-3.5184994E+000,-2.4546730E+000, 2.5620121E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3534235E+000, 2.4765621E+000, 6.5707755E-004, 6.5707755E-004
 6.2607006E+001, 1.2502444E+001,-3.2059838E+000,-3.5270216E+000,-2.4572698E+000, 2.5619384E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4592389E+000, 3.3147309E+000, 6.5707755E-004, 6.5707755E-004
 6.2759697E+001, 1.2501322E+001,-3.4730426E+000,-3.5532830E+000,-2.4597355E+000, 2.5619056E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2979309E+000, 3.0178230E+000, 6.5707755E-004, 6.5707755E-004
 6.2912388E+001, 1.2500774E+001,-3.5578934E+000,-3.5747399E+000,-2.4606487E+000, 2.5622695E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0024788E+000, 2.9100540E+000, 6.5707755E-004, 6.5707755E-004
